x,y
0.240555,0.599982
0.513278,0.378655
0.076686,0.203890
0.717152,0.409341
0.153894,0.127269
0.632040,0.298249
0.589601,0.308121
0.584237,0.599786
0.739279,0.415552
0.875985,0.533808
0.834602,0.392606
0.493029,0.331132
0.155304,0.553554
0.085527,0.465794
0.293429,0.654940
0.272155,0.614360
0.925753,0.787418
0.093168,0.500525
0.634536,0.628358
0.806272,0.460022
0.151634,0.117036
0.100375,0.169453
0.794571,0.457202
0.596187,0.301366
0.772022,0.372337
0.389006,0.640192
0.630771,0.302649
0.927092,0.819542
0.119522,0.546199
0.035993,0.421849
0.562469,0.606288
0.930674,0.775877
0.848714,0.542836
0.841345,0.442476
0.840432,0.849100
0.490950,0.376518
0.790709,0.383251
0.100186,0.149602
0.963610,0.790055
0.407739,0.377571
0.118503,0.514277
0.894056,0.680345
0.631960,0.657285
0.472625,0.386774
0.947546,0.758744
0.229857,0.621744
0.917333,0.595051
0.236444,0.579549
0.443500,0.626733
0.121269,0.116128
0.610036,0.587609
0.844916,0.446592
0.031307,0.408344
0.917912,0.550075
0.207467,0.612430
0.398475,0.666590
0.091393,0.141190
0.668301,0.335359
0.190039,0.514960
0.871495,0.808210
0.521657,0.665688
0.166439,0.493998
0.743613,0.334023
0.621223,0.620855
0.736270,0.329796
0.950212,0.633973
0.476537,0.310563
0.067994,0.405005
0.863710,0.893464
0.273270,0.626100
0.821845,0.433573
0.167192,0.142731
0.723456,0.337149
0.152100,0.519910
0.049491,0.340620
0.338317,0.668180
0.398466,0.666302
0.269865,0.628224
0.161109,0.124203
0.162075,0.166232
0.568407,0.608872
0.496933,0.293068
0.062679,0.454414
0.406341,0.373706
0.595925,0.614086
0.795844,0.388049
0.261144,0.579873
0.029969,0.259319
0.049407,0.213950
0.599226,0.670406
0.373822,0.674509
0.977337,0.722750
0.576973,0.367316
0.135864,0.546770
0.621512,0.653245
0.097483,0.177954
0.960053,0.775028
0.382834,0.642441
0.239996,0.643028
0.796303,0.417020
0.632192,0.622081
0.627939,0.640213
0.890675,0.539467
0.132408,0.581953
0.445659,0.620938
0.522376,0.603452
0.826160,0.486609
0.313322,0.685438
0.102213,0.161456
0.586358,0.326099
0.143888,0.094391
0.126838,0.512946
0.434412,0.370737
0.216043,0.586028
0.368277,0.406738
0.532600,0.604344
0.321964,0.652917
0.867016,0.417975
0.918490,0.567619
0.914932,0.791721
0.888375,0.629798
0.084753,0.125584
0.235280,0.667136
0.951088,0.804868
0.389388,0.666599
0.700494,0.320160
0.648983,0.299411
0.333724,0.365670
0.073807,0.214645
0.654531,0.604546
0.424544,0.641931
0.063170,0.465901
0.123164,0.239611
0.965383,0.680834
0.097314,0.533079
0.738182,0.395255
0.820833,0.494825
0.402924,0.631603
0.878874,0.909767
0.108174,0.335841
0.721473,0.356529
0.158402,0.138849
0.185108,0.570788
0.116097,0.126852
0.723414,0.393478
0.169367,0.126963
0.097280,0.170902
0.489557,0.372091
0.914879,0.784900
0.252967,0.676188
0.186716,0.581134
0.486238,0.685303
0.734128,0.353973
0.398309,0.441154
0.567748,0.675538
0.556217,0.590606
0.752721,0.398617
0.552434,0.656833
0.433837,0.417325
0.249534,0.610413
0.345485,0.628978
0.650192,0.638764
0.475902,0.706037
0.521538,0.348988
0.396315,0.340806
0.816694,0.435921
0.399999,0.707519
0.084171,0.396518
0.657897,0.342215
0.031273,0.339475
0.072702,0.409829
0.913988,0.734300
0.562359,0.314969
0.326573,0.679594
0.556279,0.298731
0.150589,0.523398
0.699013,0.307442
0.040000,0.216598
0.609848,0.341757
0.604926,0.653112
0.291920,0.666540
0.576264,0.309084
0.918469,0.851250
0.106639,0.442923
0.253530,0.646144
0.832672,0.476675
0.145206,0.139831
0.911782,0.479656
0.110646,0.104651
0.925902,0.575658
0.084276,0.506753
0.784453,0.344254
0.543720,0.361261
0.208806,0.559399
0.951792,0.662501
0.119957,0.533703
0.895290,0.564051
0.142433,0.503913
0.568268,0.601239
0.380494,0.622504
0.904432,0.892402
0.617946,0.346023
0.030879,0.403442
0.862837,0.502791
0.249415,0.576888
0.410661,0.352271
0.894699,0.894154
0.943310,0.635972
0.599199,0.671348
0.601327,0.294537
0.495222,0.334326
0.056187,0.430121
0.084391,0.447845
0.602119,0.367412
0.638790,0.313883
0.373107,0.390981
0.629428,0.617467
0.219880,0.664044
0.116219,0.339732
0.624036,0.632305
0.181878,0.135645
0.612884,0.285894
0.607838,0.315135
0.119027,0.525795
0.163084,0.589740
0.078903,0.412056
0.117434,0.333192
0.741980,0.339408
0.826388,0.465440
0.710542,0.305754
0.118656,0.528312
0.787469,0.390560
0.497792,0.358969
0.937249,0.676603
0.531651,0.602882
0.503954,0.650146
0.138681,0.427376
0.027531,0.371440
0.100033,0.234296
0.930109,0.827941
0.793052,0.384688
0.111445,0.260094
0.605538,0.595203
0.341789,0.672275
0.443189,0.367049
0.512915,0.330548
0.338986,0.685741
0.760195,0.386693
0.512199,0.288329
0.462282,0.705367
0.481690,0.360129
0.089592,0.413289
0.596063,0.609662
0.870857,0.407443
0.422343,0.711307
0.113803,0.307753
0.108952,0.533906
0.611343,0.630708
0.104488,0.533380
0.082012,0.393818
0.661735,0.349583
0.942336,0.716083
0.238412,0.669313
0.453374,0.357433
0.103588,0.224302
0.930413,0.721586
0.687984,0.299244
0.679151,0.373799
0.790637,0.383466
0.913114,0.683319
0.104012,0.339784
0.514843,0.653563
0.927178,0.813857
0.328703,0.660530
0.709083,0.380899
0.403446,0.335034
0.936062,0.651523
0.723844,0.332965
0.909378,0.649526
0.367809,0.403863
0.935464,0.842734
0.850475,0.541145
0.095684,0.474327
0.555611,0.640916
0.916880,0.670800
0.329764,0.696761
0.146334,0.550024
0.962487,0.573322
0.430872,0.326411
0.657369,0.336637
0.741853,0.358606
0.836094,0.871324
0.499191,0.345200
0.528871,0.377754
0.470340,0.343989
0.654867,0.309749
0.560763,0.368459
0.403838,0.714311
0.373574,0.716350
0.869459,0.496237
0.915579,0.588231
0.121761,0.373290
0.579161,0.316520
0.930212,0.724684
0.427106,0.709855
0.380064,0.351046
0.929563,0.517532
0.405918,0.713760
0.096991,0.419580
0.863462,0.834818
0.712568,0.398331
0.087640,0.107696
0.092830,0.475510
0.368806,0.355116
0.224044,0.583474
0.297565,0.694393
0.975367,0.699933
0.533021,0.679105
0.696750,0.335676
0.193559,0.525634
0.919784,0.486633
0.670919,0.383846
0.906410,0.909820
0.883167,0.916863
0.218601,0.638324
0.890135,0.494782
0.593961,0.358850
0.125799,0.094050
0.771861,0.331533
0.382982,0.397887
0.952005,0.767046
0.454606,0.636634
0.527977,0.666780
0.107824,0.260649
0.500797,0.676722
0.034479,0.251965
0.106861,0.382117
0.342205,0.622270
0.639299,0.292126
0.876796,0.880043
0.723907,0.375594
0.418532,0.415275
0.128083,0.395376
0.736631,0.326863
0.391820,0.629137
0.081100,0.480371
0.097977,0.281073
0.073944,0.141123
0.088520,0.284890
0.912550,0.470422
0.792212,0.416657
0.197796,0.596562
0.890459,0.697707
0.125218,0.157412
0.118005,0.518896
0.964406,0.774469
0.920437,0.471406
0.969832,0.740572
0.715819,0.403172
0.301364,0.657713
0.759004,0.327406
0.600877,0.311276
0.088057,0.238769
0.265849,0.669629
0.935108,0.857649
0.912543,0.651705
0.108874,0.532500
0.277597,0.600404
0.433281,0.368477
0.809071,0.459742
0.835723,0.388473
0.514728,0.670542
0.599784,0.301138
0.049789,0.263405
0.958367,0.629934
0.437145,0.317918
0.929042,0.632135
0.878988,0.781784
0.959207,0.608508
0.893047,0.827882
0.107895,0.520654
0.238671,0.620788
0.613790,0.600764
0.069966,0.194287
0.330386,0.631558
0.590734,0.608410
0.531370,0.332697
0.419586,0.627010
0.890725,0.659895
0.908770,0.628870
0.377546,0.353007
0.097317,0.455687
0.160024,0.477850
0.116866,0.095628
0.275020,0.615693
0.121953,0.281313
0.928454,0.662920
0.434070,0.393140
0.128314,0.159901
0.117049,0.531783
0.116188,0.478071
0.104484,0.543876
0.148498,0.172920
0.061827,0.497342
0.974121,0.733132
0.954313,0.581706
0.225450,0.590425
0.553655,0.601130
0.901713,0.849650
0.413587,0.374149
0.294455,0.605235
0.490405,0.640263
0.040739,0.315405
0.474175,0.302791
0.899550,0.837364
0.590338,0.595714
0.198966,0.551528
0.091655,0.546623
0.627326,0.370723
0.236284,0.572698
0.038306,0.369313
0.132212,0.582364
0.070339,0.503164
0.584054,0.341478
0.097495,0.461560
0.894101,0.676565
0.940964,0.843206
0.550798,0.607380
0.917335,0.742099
0.910601,0.482766
0.096306,0.492064
0.107767,0.520469
0.944929,0.582442
0.473586,0.351737
0.324722,0.680653
0.028742,0.250061
0.666492,0.318039
0.960393,0.648005
0.377877,0.688096
0.101684,0.348536
0.840950,0.394547
0.158726,0.172560
0.816932,0.425237
0.223022,0.549078
0.883022,0.533125
0.936572,0.654258
0.065590,0.258976
0.071273,0.353463
0.640662,0.360180
0.775774,0.342911
0.042571,0.220727
0.053819,0.424390
0.886985,0.643813
0.457312,0.660295
0.860540,0.458477
0.176955,0.546429
0.924302,0.619828
0.514869,0.616778
0.882913,0.556194
0.308566,0.623432
0.369365,0.649865
0.883596,0.840843
0.025406,0.309939
0.069647,0.292517
0.961762,0.672975
0.948109,0.694840
0.898309,0.835924
0.079047,0.215424
0.128223,0.396332
0.495953,0.366934
0.586275,0.340958
0.073360,0.202095
0.235940,0.651730
0.281343,0.614873
0.447843,0.360922
0.307351,0.645411
0.777494,0.393960
0.477277,0.621544
0.824177,0.371318
0.784787,0.392747
0.383262,0.368263
0.857759,0.559794
0.915881,0.496125
0.809955,0.462415
0.497307,0.390651
0.602797,0.581919
0.498643,0.669553
0.099104,0.508056
0.091606,0.260975
0.477167,0.318953
0.657648,0.628325
0.125528,0.228792
0.067983,0.365643
0.927835,0.571878
0.772326,0.380694
0.736421,0.406635
0.072197,0.400668
0.881358,0.583677
0.592480,0.371208
